type,label,original_text,processed_text
spam,1,এই মেসেজটি শেয়ার করুন এবং জিতে নিন আকর্ষণীয় পুরস্কার!,এই মেসেজটি শেয়ার করুন এবং জিতে নিন আকর্ষণীয় পুরস্কার!
spam,1,আপনার বন্ধুদের রেফার করুন এবং প্রতি রেফারেলে ২০০ টাকা জিতুন!,আপনার বন্ধুদের রেফার করুন এবং প্রতি রেফারেলে <MONEY> জিতুন!
ham,0,ট্রানজ্যাকশন নম্বর R234321.1554.640085 20 টাকা রিচার্জটি সফল হয়েছে। আপনার বর্তমান ব্যালেন্স 220.01 টাকা। নতুন মেয়াদ 11/03/24পর্যন্ত,ট্রানজ্যাকশন নম্বর R234321. <NUMBER> <MONEY> রিচার্জটি সফল হয়েছে। আপনার বর্তমান ব্যালেন্স <MONEY> । নতুন মেয়াদ <NUMBER> / <NUMBER> /24পর্যন্ত
spam,1,নতুন অফার! সীমিত সময়ের জন্য পণ্যের উপর ৯০% পর্যন্ত ছাড়!,নতুন অফার! সীমিত সময়ের জন্য পণ্যের উপর <NUMBER> % পর্যন্ত ছাড়!
ham,0,নববর্ষের শুভেচ্ছা!! আল্লাহ আপনার সকল কষ্ট দূর করে আপনার জীবনকে আলোকিত করুন।,নববর্ষের শুভেচ্ছা!! আল্লাহ আপনার সকল কষ্ট দূর করে আপনার জীবনকে আলোকিত করুন।
spam,1,আপনার ইমেইল যাচাই করুন এবং ২০০০ টাকা বোনাস জিতুন!,আপনার ইমেইল যাচাই করুন এবং <MONEY> বোনাস জিতুন!
spam,1,নতুন গ্যাজেট কিনুন এবং ১০% ক্যাশব্যাক পান!,নতুন গ্যাজেট কিনুন এবং <NUMBER> % ক্যাশব্যাক পান!
spam,1,আপনার মোবাইল রিচার্জ করুন এবং ১৫% ক্যাশব্যাক পান!,আপনার মোবাইল রিচার্জ করুন এবং <NUMBER> % ক্যাশব্যাক পান!
spam,1,বিশেষ ছাড়! সব পণ্যের উপর ৯৫% পর্যন্ত ডিসকাউন্ট!,বিশেষ ছাড়! সব পণ্যের উপর <NUMBER> % পর্যন্ত ডিসকাউন্ট!
spam,1,আজই ক্লিক করুন এবং ৫০০০ টাকা জিতুন!,আজই ক্লিক করুন এবং <MONEY> জিতুন!
